Date Run,Date/Time Run,Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Iowa,2020-08-12,49973.0,953.0,3655.0,42.0,7.31,4.41,True,True,,,109911.0,3.51,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Kansas,2020-08-12,32547.0,395.0,2414.0,68.0,8.97,17.8,False,True,26900.0,382.0,169801.0,5.84,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Kentucky,,,,,,,,False,False,,,354112.0,7.98,"An error occurred. ... CSVParseError(""Error failed to create DataFrame with different column tables.\nTry to set `multiple_tables=True`or set `names` option for `pandas_options`. \n, caused by ParserError('Error tokenizing data. C error: Expected 2 fields in line 9, saw 3\\n')"")"
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Louisiana,2020-08-12,134304.0,4238.0,49262.0,2054.0,43.11,48.99,False,True,114279.0,4193.0,1502916.0,32.23,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Maine,2020-08-12,4069.0,126.0,893.0,,24.23,,False,True,3685.0,,17881.0,1.34,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Maryland,2020-08-12,97384.0,3474.0,30803.0,1426.0,37.34,41.19,False,False,82492.0,3462.0,1788090.0,29.78,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Massachusetts,2020-08-12,122000.0,8769.0,11324.0,724.0,9.28,8.26,True,False,,,510558.0,7.48,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Michigan,2020-08-12,89184.0,6197.0,23042.0,2447.0,25.84,39.49,True,False,,,1375424.0,13.81,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Minnesota,2020-08-12,62303.0,1678.0,12985.0,166.0,20.84,9.89,True,True,,,342186.0,6.19,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Mississippi,2020-08-11,69374.0,1989.0,29169.0,964.0,42.05,48.47,True,True,,,1125834.0,37.67,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Missouri,2020-08-12,62522.0,1323.0,11588.0,431.0,26.45,33.83,False,True,43809.0,1274.0,704896.0,11.57,Success!
